symbol,date,price
BTC,Apr 2013,134.21
BTC,May 2013,116.99
BTC,Jun 2013,129.3
BTC,Jul 2013,88.05
BTC,Aug 2013,104
BTC,Sep 2013,138.34
BTC,Oct 2013,132.18
BTC,Nov 2013,206.18
BTC,Dec 2013,955.85
BTC,Jan 2014,771.4
BTC,Feb 2014,832.58
BTC,Mar 2014,565.61
BTC,Apr 2014,478.38
BTC,May 2014,457.76
BTC,Jun 2014,630.23
BTC,Jul 2014,640.81
BTC,Aug 2014,594.92
BTC,Sep 2014,474.88
BTC,Oct 2014,383.62
BTC,Nov 2014,325.75
BTC,Dec 2014,379.25
BTC,Jan 2015,314.25
BTC,Feb 2015,226.97
BTC,Mar 2015,260.2
BTC,Apr 2015,247.27
BTC,May 2015,232.08
BTC,Jun 2015,222.93
BTC,Jul 2015,258.62
BTC,Aug 2015,281.6
BTC,Sep 2015,228.12
BTC,Oct 2015,237.55
BTC,Nov 2015,325.43
BTC,Dec 2015,362.49
BTC,Jan 2016,434.33
BTC,Feb 2016,373.06
BTC,Mar 2016,435.12
BTC,Apr 2016,417.96
BTC,May 2016,451.88
BTC,Jun 2016,536.92
BTC,Jul 2016,676.3
BTC,Aug 2016,606.27
BTC,Sep 2016,572.3
BTC,Oct 2016,613.98
BTC,Nov 2016,729.79
BTC,Dec 2016,756.77
BTC,Jan 2017,998.33
BTC,Feb 2017,989.02
BTC,Mar 2017,1222.5
BTC,Apr 2017,1080.5
BTC,May 2017,1421.6
BTC,Jun 2017,2407.88
BTC,Jul 2017,2434.55
BTC,Aug 2017,2718.26
BTC,Sep 2017,4892.01
BTC,Oct 2017,4403.74
BTC,Nov 2017,6767.31
BTC,Dec 2017,10975.6
BTC,Jan 2018,13657.2
BTC,Feb 2018,9170.54
BTC,Mar 2018,10951
BTC,Apr 2018,6844.23
BTC,May 2018,9119.01
BTC,Jun 2018,7541.45
ETH,Aug 2015,2.77
ETH,Sep 2015,1.35
ETH,Oct 2015,0.690215
ETH,Nov 2015,1.06
ETH,Dec 2015,0.8748
ETH,Jan 2016,0.948024
ETH,Feb 2016,2.21
ETH,Mar 2016,7.65
ETH,Apr 2016,11.66
ETH,May 2016,8.85
ETH,Jun 2016,14
ETH,Jul 2016,12.2
ETH,Aug 2016,10.94
ETH,Sep 2016,11.99
ETH,Oct 2016,13.17
ETH,Nov 2016,10.77
ETH,Dec 2016,8.45
ETH,Jan 2017,8.17
ETH,Feb 2017,10.73
ETH,Mar 2017,17.35
ETH,Apr 2017,50.7
ETH,May 2017,76.3
ETH,Jun 2017,222.24
ETH,Jul 2017,274.6
ETH,Aug 2017,226.77
ETH,Sep 2017,387.74
ETH,Oct 2017,302.34
ETH,Nov 2017,291.69
ETH,Dec 2017,466.54
ETH,Jan 2018,772.64
ETH,Feb 2018,1036.79
ETH,Mar 2018,872.2
ETH,Apr 2018,379.61
ETH,May 2018,673.61
ETH,Jun 2018,580.04
XRP,Aug 2013,0.005882
XRP,Sep 2013,0.005787
XRP,Oct 2013,0.010529
XRP,Nov 2013,0.006353
XRP,Dec 2013,0.051497
XRP,Jan 2014,0.026944
XRP,Feb 2014,0.020698
XRP,Mar 2014,0.013799
XRP,Apr 2014,0.008757
XRP,May 2014,0.005413
XRP,Jun 2014,0.004092
XRP,Jul 2014,0.003623
XRP,Aug 2014,0.005369
XRP,Sep 2014,0.005025
XRP,Oct 2014,0.004752
XRP,Nov 2014,0.004671
XRP,Dec 2014,0.012559
XRP,Jan 2015,0.02439
XRP,Feb 2015,0.014139
XRP,Mar 2015,0.012239
XRP,Apr 2015,0.007668
XRP,May 2015,0.008018
XRP,Jun 2015,0.007579
XRP,Jul 2015,0.011198
XRP,Aug 2015,0.008222
XRP,Sep 2015,0.007815
XRP,Oct 2015,0.005448
XRP,Nov 2015,0.004901
XRP,Dec 2015,0.00409
XRP,Jan 2016,0.005955
XRP,Feb 2016,0.006542
XRP,Mar 2016,0.008006
XRP,Apr 2016,0.007418
XRP,May 2016,0.006791
XRP,Jun 2016,0.005809
XRP,Jul 2016,0.006787
XRP,Aug 2016,0.005906
XRP,Sep 2016,0.005984
XRP,Oct 2016,0.008205
XRP,Nov 2016,0.008102
XRP,Dec 2016,0.006702
XRP,Jan 2017,0.006368
XRP,Feb 2017,0.00654
XRP,Mar 2017,0.005408
XRP,Apr 2017,0.021892
XRP,May 2017,0.055115
XRP,Jun 2017,0.333657
XRP,Jul 2017,0.254744
XRP,Aug 2017,0.177053
