symbol,date,price
BTC,Apr 28 2013,134.21
BTC,Apr 29 2013,144.54
BTC,Apr 30 2013,139
BTC,May 01 2013,116.99
BTC,May 02 2013,105.21
BTC,May 03 2013,97.75
BTC,May 04 2013,112.5
BTC,May 05 2013,115.91
BTC,May 06 2013,112.3
BTC,May 07 2013,111.5
BTC,May 08 2013,113.57
BTC,May 09 2013,112.67
BTC,May 10 2013,117.2
BTC,May 11 2013,115.24
BTC,May 12 2013,115
BTC,May 13 2013,117.98
BTC,May 14 2013,111.5
BTC,May 15 2013,114.22
BTC,May 16 2013,118.76
BTC,May 17 2013,123.02
BTC,May 18 2013,123.5
BTC,May 19 2013,121.99
BTC,May 20 2013,122
BTC,May 21 2013,122.88
BTC,May 22 2013,123.89
BTC,May 23 2013,126.7
BTC,May 24 2013,133.2
BTC,May 25 2013,131.98
BTC,May 26 2013,133.48
BTC,May 27 2013,129.75
BTC,May 28 2013,129
BTC,May 29 2013,132.3
BTC,May 30 2013,128.8
BTC,May 31 2013,129
BTC,Jun 01 2013,129.3
BTC,Jun 02 2013,122.29
BTC,Jun 03 2013,122.22
BTC,Jun 04 2013,121.42
BTC,Jun 05 2013,121.65
BTC,Jun 06 2013,118
BTC,Jun 07 2013,111.5
BTC,Jun 08 2013,108.3
BTC,Jun 09 2013,100
BTC,Jun 10 2013,106.35
BTC,Jun 11 2013,108.9
BTC,Jun 12 2013,108.15
BTC,Jun 13 2013,104
BTC,Jun 14 2013,99.98
BTC,Jun 15 2013,99.99
BTC,Jun 16 2013,99.51
BTC,Jun 17 2013,101.7
BTC,Jun 18 2013,107.4
BTC,Jun 19 2013,108.25
BTC,Jun 20 2013,110.15
BTC,Jun 21 2013,109.5
BTC,Jun 22 2013,108.3
BTC,Jun 23 2013,107.6
BTC,Jun 24 2013,102.74
BTC,Jun 25 2013,103.95
BTC,Jun 26 2013,104
BTC,Jun 27 2013,101.44
BTC,Jun 28 2013,94.65
BTC,Jun 29 2013,94.99
BTC,Jun 30 2013,96.61
BTC,Jul 01 2013,88.05
