id,value
bitcoin,1.30E+11
ethereum,60960700000
ripple,26601900000
bitcoin-cash,19868800000
eos,12773800000
litecoin,6929530000
stellar,5450080000
cardano,5718610000
iota,4863620000
tron,3985740000
neo,3543110000
monero,2691610000
dash,2577680000
tether,2501920000
nem,2269270000
vechain,2154240000
binance-coin,1778930000
ethereum-classic,1587700000
ontology,1235550000
qtum,1235360000
omisego,1155730000
bytecoin-bcn,1124960000
icon,1042340000
zilliqa,934881000
zcash,976994000
